Reference, Value, Footprint, Datasheet, LCSC, Desc
"D1","RX","LED_SMD:LED_0805_2012Metric","~","C205441",""
"D2","TX","LED_SMD:LED_0805_2012Metric","","C205441",""
"R2","1k","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"R1","1k","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"C5","4.7uF/6V","Capacitor_SMD:C_0805_2012Metric","~","CERAMIC +/- 20%",""
"J1","SERIAL","!Greg:2.54mmedge","~","DNP",""
"R3","1k","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"U1","USBLC6-2SC6","Package_TO_SOT_SMD:SOT-23-6","https://www.st.com/resource/en/datasheet/usblc6-2.pdf","C7519",""
"C2","0.1uF/10V","Capacitor_SMD:C_0805_2012Metric","~","CERAMIC +/- 20%",""
"D3","VBUS","LED_SMD:LED_0805_2012Metric","~","C205442",""
"R17","1k","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"D4","POWER","LED_SMD:LED_0805_2012Metric","~","C205444",""
"R18","1k","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"R15","22k1","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"R16","47k5","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"C9","0.1uF/10V","Capacitor_SMD:C_0805_2012Metric","~","CERAMIC +/- 20%",""
"C6","4.7uF/6V","Capacitor_SMD:C_0805_2012Metric","~","CERAMIC +/- 20%",""
"U2","CP2102N-A02-GQFN24","Package_DFN_QFN:QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm","https://www.silabs.com/documents/public/data-sheets/cp2102n-datasheet.pdf","???",""
"J2","10137062-00021LF","!Greg:USBC-Amphenol-10137062-00021LF","https://www.usb.org/sites/default/files/documents/usb_type-c.zip","DNP",""
"F2","0ZCK0050AF2E (TLC-PSMD050)","Fuse:Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder","~","C261942","500mA hold PTC"
"R4","10k","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"R5","10k","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"Q1","MMDT3904","Package_TO_SOT_SMD:SOT-363_SC-70-6","http://www.diodes.com/_files/datasheets/ds30088.pdf","C83572",""
"R6","5k1","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"R7","5k1","Resistor_SMD:R_0805_2012Metric","~","1/8W, +/-5%",""
"SW1","JS202011CQN","Button_Switch_THT:SW_CuK_JS202011CQN_DPDT_Straight","","DNP",""
"D5","ESD5Z3.3T1G","Diode_SMD:D_SOD-523","~","C61148",""
"C1","1uF/10V","Capacitor_SMD:C_0805_2012Metric","~","CERAMIC +/- 20%",""
"J3","SERIAL2","!Greg:1.27mmedge","~","DNP",""
"U3","TLV75533PDBV","Package_TO_SOT_SMD:SOT-23-5","http://www.ti.com/lit/ds/symlink/tlv755p.pdf","C404027",""
