Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1uF/10V,C_0805_2012Metric,19.5,-3,270,top
C2,0.1uF/10V,C_0805_2012Metric,19.3,-9.4375,270,top
C5,4.7uF/6V,C_0805_2012Metric,27.8,-2.9625,270,top
C6,4.7uF/6V,C_0805_2012Metric,23.4,-13.8625,270,top
C9,0.1uF/10V,C_0805_2012Metric,25.4,-13.8625,270,top
D1,RX,LED_0805_2012Metric,34.8,-12.2,90,top
D2,TX,LED_0805_2012Metric,37,-12.2,90,top
D3,VBUS,LED_0805_2012Metric,30.4,-12.2,90,top
D4,PWR,LED_0805_2012Metric,32.6,-12.2,90,top
D5,ESD5Z3.3T1G,D_SOD-523,29.8,-3.3,270,top
F2,0ZCK0050FF2E (TLC-PSMD050),Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder,15.3,-5.4,180,top
J1,SERIAL,2.54mmedge,43.897,-8.45,90,top
Q1,MMDT3904,SOT-363_SC-70-6,33.2,-2.8,0,top
R1,1k,R_0805_2012Metric,34.8,-8.2625,270,top
R2,1k,R_0805_2012Metric,37,-8.2625,270,top
R3,1k,R_0805_2012Metric,27.4,-13.8625,90,top
R4,10k,R_0805_2012Metric,38.4,-3.0625,270,top
R5,10k,R_0805_2012Metric,36.4,-3.0625,90,top
R6,5k1,R_0805_2012Metric,14.7,-2.5,90,top
R7,5k1,R_0805_2012Metric,12.7,-2.5,90,top
R15,22k1,R_0805_2012Metric,39.2,-8.2625,270,top
R16,47k5,R_0805_2012Metric,39.2,-12.2,270,top
R17,5k1,R_0805_2012Metric,30.4,-8.2625,270,top
R18,1k,R_0805_2012Metric,32.6,-8.2625,270,top
U1,ESD PROTECTION,SOT-23-6,15.4,-8.5,0,top
U2,CP2102N-A02-GQFN24,QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm,25.3,-8.5,0,top
U3,TLV75533PDBV,SOT-23-5,24.5,-3.1,0,top
