Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
"C1","1uF/10V","C_0805_2012Metric",19.500000,-3.000000,-90.000000,top
"C2","0.1uF/10V","C_0805_2012Metric",19.300000,-9.437500,-90.000000,top
"C5","4.7uF/6V","C_0805_2012Metric",27.800000,-2.962500,-90.000000,top
"C6","4.7uF/6V","C_0805_2012Metric",23.400000,-13.862500,-90.000000,top
"C9","0.1uF/10V","C_0805_2012Metric",25.400000,-13.862500,-90.000000,top
"D1","RX","LED_0805_2012Metric",34.800000,-12.200000,90.000000,top
"D2","TX","LED_0805_2012Metric",37.000000,-12.200000,90.000000,top
"D3","VBUS","LED_0805_2012Metric",30.400000,-12.200000,90.000000,top
"D4","PWR","LED_0805_2012Metric",32.600000,-12.200000,90.000000,top
"D5","ESD5Z3.3T1G","D_SOD-523",29.800000,-3.300000,-90.000000,top
"F2","0ZCK0050FF2E (TLC-PSMD050)","Fuse_0805_2012Metric_Pad1.15x1.40mm_HandSolder",15.300000,-5.400000,180.000000,top
"J1","SERIAL","2.54mmedge",43.897000,-8.450000,90.000000,top
"J2","10137062-00021LF","USBC-Amphenol-10137062-00021LF",6.700000,-8.500000,-90.000000,top
"Q1","MMDT3904","SOT-363_SC-70-6",33.200000,-2.800000,0.000000,top
"R1","1k","R_0805_2012Metric",34.800000,-8.262500,-90.000000,top
"R2","1k","R_0805_2012Metric",37.000000,-8.262500,-90.000000,top
"R3","1k","R_0805_2012Metric",27.400000,-13.862500,90.000000,top
"R4","10k","R_0805_2012Metric",38.400000,-3.062500,-90.000000,top
"R5","10k","R_0805_2012Metric",36.400000,-3.062500,90.000000,top
"R6","5k1","R_0805_2012Metric",14.700000,-2.500000,90.000000,top
"R7","5k1","R_0805_2012Metric",12.700000,-2.500000,90.000000,top
"R15","22k1","R_0805_2012Metric",39.200000,-8.262500,-90.000000,top
"R16","47k5","R_0805_2012Metric",39.200000,-12.200000,-90.000000,top
"R17","5k1","R_0805_2012Metric",30.400000,-8.262500,-90.000000,top
"R18","1k","R_0805_2012Metric",32.600000,-8.262500,-90.000000,top
"SW1","JS202011CQN","SW_CuK_JS202011CQN_DPDT_Straight",13.900000,-12.500000,0.000000,top
"U1","ESD PROTECTION","SOT-23-6",15.400000,-8.500000,0.000000,top
"U2","CP2102N-A02-GQFN24","QFN-24-1EP_4x4mm_P0.5mm_EP2.6x2.6mm",25.300000,-8.500000,0.000000,top
"U3","TLV75533PDBV","SOT-23-5",24.500000,-3.100000,0.000000,top
